epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1771.33,1.27901,1.03006,1.5616,0.66689,0.65948,0.71819,0.36224,1.68771,1.30968,2.02664,0.000109,0.000109,0.000109
92,1790.54,1.21986,0.96661,1.51653,0.67067,0.67449,0.72442,0.37544,1.66015,1.26804,2.00792,9.91e-05,9.91e-05,9.91e-05
93,1809.63,1.23571,0.95041,1.52892,0.68348,0.67673,0.72555,0.36925,1.66932,1.27776,1.97886,8.92e-05,8.92e-05,8.92e-05
94,1828.63,1.20319,0.93419,1.50722,0.67429,0.66687,0.71787,0.37484,1.66206,1.27368,1.9855,7.93e-05,7.93e-05,7.93e-05
95,1847.74,1.19929,0.91592,1.5039,0.69073,0.66664,0.73389,0.38353,1.6553,1.26015,1.99625,6.94e-05,6.94e-05,6.94e-05
96,1866.91,1.18319,0.89658,1.48833,0.66978,0.68444,0.73262,0.37619,1.66466,1.26107,1.98951,5.95e-05,5.95e-05,5.95e-05
97,1885.99,1.17093,0.88502,1.47074,0.67075,0.66912,0.7289,0.3826,1.6399,1.26744,1.97448,4.96e-05,4.96e-05,4.96e-05
98,1905.05,1.18782,0.9066,1.50201,0.67456,0.66962,0.73343,0.38983,1.6541,1.26881,1.9818,3.97e-05,3.97e-05,3.97e-05
99,1924.31,1.16975,0.8748,1.48583,0.69007,0.67615,0.73866,0.3877,1.66324,1.26409,1.98719,2.98e-05,2.98e-05,2.98e-05
100,1943.4,1.16041,0.87556,1.46686,0.67888,0.68745,0.73716,0.38722,1.6491,1.26996,1.97592,1.99e-05,1.99e-05,1.99e-05
